i,roast_id,time_s,phase_used,phase_actual_next,gas,pressure,drum_speed,start_weight_kg,bean_start_temp_c,charge_temp_c,start_temp_c,observer_enabled,actual_bt,pred_bt,actual_et,pred_et,actual_ror,pred_ror,pred_e_drum_raw,pred_e_drum,pred_m_burden,pred_p_dry,pred_p_mai,pred_p_dev,bt_error,et_error,ror_error
610,PR-0173,610.0,maillard,maillard,0.4,183.5,0.7,,,221.2,,False,205.2,215.67493569107904,209.8,221.48063928967454,0.0,6.150269985356678,-19.20109211739941,-0.8375200664468769,0.0,1.0,1.0,1.0,10.474935691079054,11.68063928967453,6.150269985356678
611,PR-0173,611.0,maillard,development,0.4,185.3,0.7,,,221.2,,False,205.5,215.7758415141795,209.8,221.46951020649962,18.000000000000682,6.121493805557727,-19.373047388763034,-0.8442954505836485,0.0,1.0,1.0,1.0,10.27584151417949,11.66951020649961,-11.878506194442956
612,PR-0173,612.0,development,development,0.4,187.2,0.7,,,221.2,,False,205.5,215.8940202775838,209.8,221.51001730823236,0.0,6.4122634051678435,-19.55111654381789,-0.8513117340557366,0.0,1.0,1.0,1.0,10.394020277583792,11.710017308232352,6.4122634051678435
613,PR-0173,613.0,development,development,0.4,186.2,0.7,,,221.2,,False,205.8,216.0096259147845,209.8,221.53999201166644,18.000000000000682,6.569485853230118,-19.72328214605648,-0.8580954056527437,0.0,1.0,1.0,1.0,10.209625914784482,11.73999201166643,-11.430514146770564
614,PR-0173,614.0,development,development,0.4,187.1,0.7,,,221.2,,False,205.8,216.1235338374162,209.8,221.56681199144288,0.0,6.648982704631877,-19.89743666741183,-0.8649574446701048,0.0,1.0,1.0,1.0,10.323533837416193,11.766811991442864,6.648982704631877
615,PR-0173,615.0,development,development,0.4,186.3,0.7,,,221.2,,False,206.0,216.23627660635645,209.8,221.59451521046992,11.999999999999318,6.683657734166831,-20.066551354541055,-0.8716209040650043,0.0,1.0,1.0,1.0,10.236276606356455,11.79451521046991,-5.316342265832487
616,PR-0173,616.0,development,development,0.4,187.5,0.7,,,221.2,,False,206.0,216.34815199340818,210.0,221.6239137718346,0.0,6.692317380847836,-20.238922328317848,-0.8784126677143868,0.0,1.0,1.0,1.0,10.34815199340818,11.623913771834594,6.692317380847836
617,PR-0173,617.0,development,development,0.4,184.9,0.7,,,221.2,,False,206.0,216.45937274726205,210.0,221.65221747408447,0.0,6.6865957359631665,-20.398850153066007,-0.8847141462223396,0.0,1.0,1.0,1.0,10.459372747262051,11.652217474084466,6.6865957359631665
618,PR-0173,618.0,development,development,0.4,189.5,0.7,,,221.2,,False,206.2,216.56999000636324,210.0,221.6889549392714,11.999999999999318,6.671727678995633,-20.57614386138899,-0.8916998755308686,0.0,1.0,1.0,1.0,10.369990006363253,11.688954939271412,-5.328272321003685
619,PR-0173,619.0,development,development,0.4,194.2,0.7,,,221.2,,False,206.2,216.68004039045474,210.0,221.75519805867845,0.0,6.651116288943833,-20.771042080577615,-0.8993792580360043,0.0,1.0,1.0,1.0,10.480040390454747,11.755198058678445,6.651116288943833
620,PR-0173,620.0,development,development,0.35,194.0,0.7,,,221.2,,False,206.5,216.78950881572177,210.0,221.77099748875918,18.000000000000682,6.626213057067385,-21.01316674532121,-0.9089194576449819,0.0,1.0,1.0,1.0,10.289508815721774,11.770997488759178,-11.373786942933297
621,PR-0173,621.0,development,development,0.35,195.1,0.7,,,221.2,,False,206.5,216.89830660303318,210.0,221.772746361249,0.0,6.596709311552419,-21.25740531080966,-0.9185429492022658,0.0,1.0,1.0,1.0,10.398306603033177,11.772746361249006,6.596709311552419
