i,time_s,phase_actual,measured_bt,measured_et,measured_ror,estimated_bt,estimated_et,estimated_ror,estimated_e_drum,estimated_m_burden,estimated_p_dry,estimated_p_mai,estimated_p_dev,actual_gas_now,actual_pressure_now,actual_drum_now,recommended_gas,recommended_pressure,recommended_drum,recommendation_text,mpc_objective,candidate_index
86,87.0,drying,77.0,145.5,0.0,77.30401855362935,145.12322150831992,16.038656695834838,0.8185247571853634,0.0,1.0,1.0,0.5102107372236916,1.0,130.7,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-70.7 Pa),31.710052314776036,12
87,88.0,drying,77.5,145.8,30.0,77.61738679543895,145.44207813869582,20.404349584052394,0.8250002731068079,0.0,1.0,1.0,0.5102107372236916,1.0,130.9,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-70.9 Pa),31.85901897240225,12
88,89.0,drying,77.8,146.2,17.99999999999983,77.92970390824566,145.7788991311205,20.529506341575445,0.8314110338690379,0.0,1.0,1.0,0.5102107372236916,1.0,130.4,0.65,0.6799999999999998,75.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-55.4 Pa),31.491320771302128,19
89,90.0,drying,78.0,146.5,12.00000000000017,78.20658987674481,146.18676511047852,19.485547618891637,0.8368970320078183,0.0,1.0,1.0,0.5102107372236916,1.0,130.3,0.65,0.6799999999999998,82.5,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-47.8 Pa),23.918991020756526,13
90,91.0,drying,78.2,146.8,12.00000000000017,78.46393602973956,146.5605779336463,19.064210638761026,0.8411098023625111,0.0,1.0,1.0,0.5102107372236916,1.0,131.5,0.65,0.6799999999999998,90.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-41.5 Pa),20.928789421520065,13
91,92.0,drying,78.5,147.0,17.99999999999983,78.7423420933852,146.88350426619772,20.164088582913354,0.8440620772109574,0.0,1.0,1.0,0.5102107372236916,1.0,129.8,0.65,0.6799999999999998,90.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-39.8 Pa),18.161368184251998,12
92,93.0,drying,79.0,147.5,30.0,79.10160487176404,147.24466207581747,23.253102159226223,0.8469848293109191,0.0,1.0,1.0,0.5102107372236916,1.0,130.3,0.65,0.6799999999999998,90.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-40.3 Pa),17.55930776656886,12
93,94.0,drying,79.2,147.8,12.00000000000017,79.40674029022716,147.58339132800916,21.418719639258534,0.8498783538898813,0.0,1.0,1.0,0.5102107372236916,1.0,131.8,0.65,0.6799999999999998,90.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-41.8 Pa),16.994782445473458,12
94,95.0,drying,79.5,148.0,17.99999999999983,79.71291844423655,147.880898170146,21.654385275646327,0.8527429432230538,0.0,1.0,1.0,0.5102107372236916,1.0,131.5,0.65,0.6799999999999998,90.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-41.5 Pa),16.39516352768028,12
95,96.0,drying,80.0,148.5,30.0,80.08810455814617,148.22361448001936,24.212284983978353,0.8555788866628946,0.0,1.0,1.0,0.5102107372236916,1.0,131.9,0.65,0.6799999999999998,90.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-41.9 Pa),16.33980612560107,12
96,97.0,drying,80.2,148.8,12.00000000000017,80.40219910062804,148.54894096303062,22.04966172148266,0.858386470668337,0.0,1.0,1.0,0.5102107372236916,1.0,131.1,0.65,0.7199999999999999,97.5,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-33.6 Pa),14.552957679726466,18
97,98.0,drying,80.5,149.0,17.99999999999983,80.71347041766664,148.92108326163597,22.085334306370687,0.8615236916205975,0.0,1.0,1.0,0.5102107372236916,1.0,131.2,0.65,0.7199999999999999,105.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-26.2 Pa),10.950010974370405,13
98,99.0,drying,81.0,149.5,30.0,81.09418454982931,149.3167041481534,24.58036322415578,0.8634111725606358,0.0,1.0,1.0,0.5102107372236916,1.0,132.5,0.65,0.7199999999999999,105.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-27.5 Pa),9.416165234112448,12
99,100.0,drying,81.2,149.8,12.00000000000017,81.41322708625319,149.67925616176862,22.412545952671188,0.8652797786912737,0.0,1.0,1.0,0.5102107372236916,1.0,131.8,0.65,0.7199999999999999,105.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-26.8 Pa),7.969363628075046,12
100,101.0,drying,81.5,150.0,17.99999999999983,81.72829285802243,149.9929144590928,22.458120546100638,0.8671296987606052,0.0,1.0,1.0,0.5102107372236916,1.0,132.5,0.65,0.7199999999999999,105.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-27.5 Pa),6.814993380451307,12
101,102.0,drying,82.0,150.2,30.0,82.10900550521156,150.27125431976137,24.904021542672588,0.8689611196292434,0.0,1.0,1.0,0.5102107372236916,1.0,132.7,0.65,0.7199999999999999,105.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-27.7 Pa),6.981591599836701,12
102,103.0,drying,82.5,150.5,30.0,82.52842634819483,150.54907675169596,26.206325733474138,0.8707742262891952,0.0,1.0,1.0,0.5102107372236916,1.0,131.6,0.65,0.7199999999999999,97.5,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-34.1 Pa),6.601219880122185,11
103,104.0,drying,82.8,151.0,17.99999999999983,82.90211091024369,150.87776485749083,24.44835239290793,0.8737875696852472,0.0,1.0,1.0,0.5102107372236916,1.0,130.1,0.65,0.7199999999999999,90.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-40.1 Pa),6.245428593716649,11
104,105.0,drying,83.2,151.0,24.00000000000034,83.2854811800523,151.11940281992946,24.674417144447354,0.8779891474500384,0.0,1.0,1.0,0.5102107372236916,1.0,131.8,0.65,0.7199999999999999,90.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-41.8 Pa),4.660152936907089,12
105,106.0,drying,83.5,151.5,17.99999999999983,83.63633784080153,151.42315062833,23.52715215820211,0.8821487094371817,0.0,1.0,1.0,0.5102107372236916,1.0,131.8,0.65,0.7199999999999999,82.5,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-49.3 Pa),4.816375122739273,11
106,107.0,drying,84.0,151.8,30.0,84.04039139089875,151.72295430788213,25.30676496096173,0.8874850436071533,0.0,1.0,1.0,0.5102107372236916,1.0,131.9,0.65,0.7199999999999999,82.5,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-49.4 Pa),3.9217825651457945,12
107,108.0,drying,84.5,152.0,30.0,84.47675759120202,151.99485538451637,26.27524360044111,0.8927680144354251,0.0,1.0,1.0,0.5102107372236916,1.0,129.2,0.65,0.7199999999999999,82.5,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-46.7 Pa),4.014511104993903,12
108,109.0,drying,85.0,152.2,30.0,84.93174162224335,152.2465573350899,26.736641503405924,0.8979981555554143,0.0,1.0,1.0,0.5102107372236916,1.0,130.8,0.65,0.7199999999999999,75.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-55.8 Pa),4.693227762489634,11
109,110.0,drying,85.2,152.5,12.00000000000017,85.29292844203493,152.50988026900586,23.294162289761566,0.9043943630669034,0.0,1.0,1.0,0.5102107372236916,1.0,129.8,0.65,0.7199999999999999,75.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-54.8 Pa),3.4235859695041677,12
110,111.0,drying,85.5,152.8,17.99999999999983,85.63223986477854,152.78152705448474,22.55618293667265,0.9107266085032776,0.0,1.0,1.0,0.5102107372236916,1.0,129.6,0.65,0.7199999999999999,75.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-54.6 Pa),3.0789893682380827,12
111,112.0,drying,86.0,153.0,30.0,86.02848078865374,153.03411795272046,24.558167401900768,0.916995531485288,0.0,1.0,1.0,0.5102107372236916,1.0,130.3,0.65,0.7199999999999999,67.5,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-62.8 Pa),3.296953916369328,11
112,113.0,drying,86.5,153.5,30.0,86.45936651168125,153.34914448231328,25.642262339543137,0.9244201330401781,0.0,1.0,1.0,0.5102107372236916,1.0,129.8,0.65,0.7199999999999999,67.5,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-62.3 Pa),2.126391701202626,12
113,114.0,drying,87.0,153.8,30.0,86.91381976489583,153.65917041871302,26.235565471934017,0.9317704885795194,0.0,1.0,1.0,0.5102107372236916,1.0,131.1,0.65,0.7199999999999999,67.5,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-63.6 Pa),2.75830681059155,12
114,115.0,drying,87.2,154.0,12.00000000000017,87.27743441560202,153.94051023192526,22.92838218004304,0.9390473405634673,0.0,1.0,1.0,0.5102107372236916,1.0,131.5,0.65,0.7199999999999999,67.5,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-64.0 Pa),2.502083136745052,12
115,116.0,drying,87.8,154.2,35.99999999999966,87.72439833903422,154.20106466161957,25.88997087014385,0.9462514240275757,0.0,1.0,1.0,0.5102107372236916,1.0,130.9,0.65,0.7199999999999999,60.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-70.9 Pa),2.8072900967222525,11
116,117.0,drying,88.2,154.8,24.00000000000034,88.15207296570888,154.54779643904283,25.085279460892135,0.9546018344597427,0.0,1.0,1.0,0.5102107372236916,1.0,132.1,0.65,0.7199999999999999,60.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-72.1 Pa),1.425239306246099,12
117,118.0,drying,88.8,155.0,35.99999999999966,88.64129383284032,154.85665864795394,27.061953780969535,0.962868740787588,0.0,1.0,1.0,0.5102107372236916,1.0,131.8,0.65,0.7199999999999999,60.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-71.8 Pa),1.7550852260059104,12
118,119.0,drying,89.0,155.2,12.00000000000017,89.02658388133783,155.13809516547653,23.30899814177273,0.971052978052155,0.0,1.0,1.0,0.5102107372236916,1.0,131.5,0.65,0.7199999999999999,60.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-71.5 Pa),1.9920641814813096,12
119,120.0,drying,89.5,155.5,30.0,89.45227029940014,155.42464691287162,24.812834624069517,0.9791553729440762,0.0,1.0,1.0,0.5102107372236916,1.0,130.9,0.65,0.7199999999999999,60.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-70.9 Pa),2.2095709546172713,12
