i,time_s,phase_actual,measured_bt,measured_et,measured_ror,estimated_bt,estimated_et,estimated_ror,estimated_e_drum,estimated_m_burden,estimated_p_dry,estimated_p_mai,estimated_p_dev,actual_gas_now,actual_pressure_now,actual_drum_now,recommended_gas,recommended_pressure,recommended_drum,recommendation_text,mpc_objective,candidate_index
10,11.0,drying,192.8,173.5,-401.9999999999993,194.09852483459065,179.22985017185977,-360.7810792675235,-0.21468121294990403,0.8158722037904832,1.0,1.0,0.5102107372236916,0.75,109.6,0.65,0.0,121.80000000000001,0.65,Reduce gas slightly (-0.75) | Increase airflow (+12.2 Pa),98146.21039888774,3
11,12.0,drying,186.5,167.0,-378.0000000000007,187.88348803802302,172.92872289901746,-356.40658085787004,-0.23313027745451162,0.7992368697204755,1.0,1.0,0.5102107372236916,0.75,117.5,0.65,0.0,114.30000000000001,0.65,Reduce gas slightly (-0.75) | Reduce airflow (-3.2 Pa),87711.4438510174,1
12,13.0,drying,177.0,159.8,-570.0,180.50626901020172,166.56195722213164,-392.63256880193137,-0.25017648351137334,0.7827247676906901,1.0,1.0,0.5102107372236916,0.75,118.8,0.65,0.0,114.30000000000001,0.65,Reduce gas slightly (-0.75) | Reduce airflow (-4.5 Pa),76319.99090147349,2
13,14.0,drying,171.5,156.0,-330.0,173.81664905381078,160.99797920524713,-364.2418255454093,-0.2670522275076665,0.7663474872132795,1.0,1.0,0.5102107372236916,0.75,129.8,0.65,0.0,114.30000000000001,0.65,Reduce gas slightly (-0.75) | Reduce airflow (-15.5 Pa),66989.93228647916,2
14,15.0,drying,166.8,153.2,-281.9999999999993,167.85856766203912,156.26375648342136,-337.96382355205293,-0.2837592140639967,0.7500903514704949,1.0,1.0,0.5102107372236916,0.75,130.4,0.65,0.0,114.30000000000001,0.65,Reduce gas slightly (-0.75) | Reduce airflow (-16.1 Pa),59662.947711533474,2
15,16.0,drying,162.8,151.0,-240.0,162.62492020396348,152.2787568840077,-313.9818063885527,-0.3002991307547636,0.7339379949140318,1.0,1.0,0.5102107372236916,0.75,131.2,0.65,0.0,114.30000000000001,0.65,Reduce gas slightly (-0.75) | Reduce airflow (-16.9 Pa),54142.89301247378,2
16,17.0,drying,155.8,147.8,-420.0,156.81321328719582,148.58483762700322,-335.662091229095,-0.3166736482786228,0.7178759425156123,1.0,1.0,0.5102107372236916,0.75,131.9,0.65,0.08,99.30000000000001,0.65,Reduce gas slightly (-0.67) | Reduce airflow (-32.6 Pa),6681.229746630903,20
17,18.0,drying,152.2,146.0,-216.00000000000136,151.8528547693827,145.62506694787788,-305.29164445605056,-0.3272955238426991,0.7019042823188295,1.0,1.0,0.5102107372236916,0.75,130.2,0.65,0.16,84.30000000000001,0.65,Reduce gas slightly (-0.59) | Reduce airflow (-45.9 Pa),6015.778648751497,20
18,19.0,drying,146.5,143.5,-341.9999999999993,146.70931656120916,143.02620278206484,-311.8072626800191,-0.3322222838665903,0.6860073793602808,1.0,1.0,0.5102107372236916,0.75,131.3,0.65,0.24,69.30000000000001,0.65,Reduce gas slightly (-0.51) | Reduce airflow (-62.0 Pa),5352.498551287699,20
19,20.0,drying,143.2,142.2,-198.00000000000068,142.31101267359833,140.99372026605647,-284.4407140440446,-0.33151087950569824,0.6701831398181651,1.0,1.0,0.5102107372236916,0.75,131.2,0.65,0.32,54.30000000000001,0.65,Reduce gas slightly (-0.43) | Reduce airflow (-76.9 Pa),4464.499533004055,20
